checkout_id,branch_id,material_type,duration_days,fine_amount,checkout_date
CO001,B001,Book,14,0.00,2026-01-02
CO002,B001,DVD,7,1.50,2026-01-03
CO003,B002,Book,21,0.00,2026-01-04
CO004,B002,Magazine,7,0.50,2026-01-05
CO005,B003,Book,14,0.00,2026-01-06
CO006,B003,DVD,7,2.00,2026-01-07
CO007,B001,Book,28,0.00,2026-01-08
CO008,B002,Ebook,21,0.00,2026-01-09
CO009,B003,Magazine,7,0.75,2026-01-10
CO010,B001,DVD,14,3.00,2026-01-11
CO011,B002,Book,14,0.00,2026-01-12
CO012,B003,Ebook,21,0.00,2026-01-13
CO013,B001,Magazine,7,0.25,2026-01-14
CO014,B002,DVD,7,1.00,2026-01-15
CO015,B003,Book,28,0.00,2026-01-16
CO016,B001,Ebook,21,0.00,2026-01-17
CO017,B002,Magazine,7,0.50,2026-01-18
CO018,B003,DVD,14,2.50,2026-01-19
CO019,B001,Book,14,0.00,2026-01-20
CO020,B002,Ebook,21,0.00,2026-01-21
CO021,B003,Magazine,7,1.00,2026-01-22
CO022,B001,DVD,7,1.25,2026-01-23
CO023,B002,Book,28,0.00,2026-01-24
CO024,B003,Ebook,21,0.00,2026-01-25
CO025,B001,Magazine,7,0.50,2026-01-26
CO026,B002,DVD,14,2.25,2026-01-27
CO027,B003,Book,14,0.00,2026-01-28
CO028,B001,Ebook,21,0.00,2026-01-29
CO029,B002,Magazine,7,0.75,2026-01-30
CO030,B003,DVD,7,1.75,2026-01-31
