adoption_id,shelter_id,animal_type,outcome,fee,adopt_date
AD001,H001,Dog,Adoption,150.00,2026-01-03
AD002,H001,Cat,Adoption,75.00,2026-01-04
AD003,H002,Dog,Foster,0.00,2026-01-05
AD004,H002,Cat,Adoption,60.00,2026-01-06
AD005,H003,Dog,Adoption,120.00,2026-01-07
AD006,H003,Cat,Foster,0.00,2026-01-08
AD007,H001,Rabbit,Adoption,35.00,2026-01-09
AD008,H002,Dog,Adoption,140.00,2026-01-10
AD009,H003,Cat,Adoption,65.00,2026-01-11
AD010,H001,Dog,Transfer,0.00,2026-01-12
AD011,H002,Rabbit,Adoption,30.00,2026-01-13
AD012,H003,Dog,Foster,0.00,2026-01-14
AD013,H001,Cat,Adoption,80.00,2026-01-15
AD014,H002,Dog,Adoption,155.00,2026-01-16
AD015,H003,Rabbit,Adoption,25.00,2026-01-17
AD016,H001,Dog,Adoption,160.00,2026-01-18
AD017,H002,Cat,Foster,0.00,2026-01-19
AD018,H003,Cat,Transfer,0.00,2026-01-20
AD019,H001,Rabbit,Foster,0.00,2026-01-21
AD020,H002,Dog,Adoption,135.00,2026-01-22
AD021,H003,Dog,Adoption,125.00,2026-01-23
AD022,H001,Cat,Adoption,70.00,2026-01-24
AD023,H002,Rabbit,Transfer,0.00,2026-01-25
AD024,H003,Cat,Adoption,55.00,2026-01-26
AD025,H001,Dog,Foster,0.00,2026-01-27
AD026,H002,Cat,Adoption,85.00,2026-01-28
AD027,H003,Rabbit,Foster,0.00,2026-01-29
AD028,H001,Dog,Adoption,145.00,2026-01-30
AD029,H002,Dog,Transfer,0.00,2026-01-31
AD030,H003,Cat,Adoption,75.00,2026-02-01
